request_id,user_id,request_date,requested_amount,amount_safe_to_pay,earliest_date_for_full_payment
request_100,user_100,2024-06-06,37114.0,34836.12,none
request_101,user_101,2025-11-03,143500.0,143499.88,2025-11-03
request_102,user_102,2026-04-05,1716.0,1716.0,2026-04-05
request_103,user_103,2024-09-07,368300.0,35758.86,none
request_104,user_104,2025-02-04,17204.0,17203.99,2025-02-04
request_105,user_105,2026-06-08,53500.0,53499.96,2026-06-08
request_106,user_106,2024-12-03,2207.7,1401.69,none
request_107,user_107,2025-05-05,2534.4,2534.4,2025-05-05
request_108,user_108,2026-07-07,55308.0,7836.38,none
request_109,user_109,2024-03-04,1863.4,1276.46,none
request_110,user_110,2025-08-06,22352.0,22351.99,2025-08-06
request_111,user_111,2026-04-03,16625000.0,16624984.16,2026-04-03
request_112,user_112,2024-06-05,271.7,271.7,2024-06-05
request_113,user_113,2026-09-04,36500.0,36499.98,2026-09-04
request_114,user_114,2026-01-04,65300.0,65299.95,2026-01-04
request_115,user_115,2024-09-06,80500.0,27134.94,none
request_116,user_116,2025-02-03,241200.0,58074.95,none
request_117,user_117,2026-07-05,880.0,880.0,2026-07-05
request_118,user_118,2024-12-07,738.1,738.1,2024-12-07
request_119,user_119,2025-05-04,203500.0,130900.9,none
request_120,user_120,2026-04-06,7714000.0,7713992.65,2026-04-06
request_121,user_121,2024-03-03,633.6,633.6,2024-03-03
request_122,user_122,2025-08-05,20558000.0,20557980.41,2025-08-05
request_123,user_123,2026-01-07,4076000.0,4075996.12,2026-01-07
request_124,user_124,2024-06-04,3104.2,2049.56,none
request_125,user_125,2025-11-06,6468.0,6468.0,2025-11-06
request_126,user_126,2026-07-03,159600.0,159599.86,2026-07-03
request_127,user_127,2024-09-05,23980.0,23979.99,2024-09-05
request_128,user_128,2025-02-07,25168.0,25167.99,2025-02-07
request_129,user_129,2026-04-04,2668.8,288.0,none
request_130,user_130,2024-12-06,1978.8,917.46,none
request_131,user_131,2025-05-03,1855.2,1855.2,2025-05-03
request_132,user_132,2026-01-05,379.86,379.86,2026-01-05
request_133,user_133,2024-03-07,15770000.0,15769984.97,2024-03-07
request_134,user_134,2025-08-04,21831000.0,12118189.52,none
request_135,user_135,2026-07-06,304.8,304.8,2026-07-06
request_136,user_136,2024-06-03,560.4,560.4,2024-06-03
request_137,user_137,2025-11-05,80100.0,67959.99,none
request_138,user_138,2026-04-07,1256.94,1209.9,none
request_139,user_139,2024-09-04,2316.0,2185.84,none
request_140,user_140,2025-02-06,62832.0,11074.75,none
request_141,user_141,2026-01-03,171600.0,51434.88,none
request_142,user_142,2024-12-05,1263.6,1263.6,2024-12-05
request_143,user_143,2025-05-07,12584.0,8384.2,none
request_144,user_144,2026-07-04,233.34,233.34,2026-07-04
request_145,user_145,2024-03-06,217400.0,105613.48,none
request_146,user_146,2025-08-03,449400.0,81464.71,none
request_147,user_147,2026-04-05,1129.7,741.53,none
request_148,user_148,2024-06-07,22242.0,13181.08,none
request_149,user_149,2025-11-04,36652.0,36651.98,2025-11-04
request_150,user_150,2026-01-06,496.1,496.1,2026-01-06
request_151,user_151,2024-09-03,26999000.0,26998974.27,2024-09-03
request_152,user_152,2025-02-05,13882.0,13881.99,2025-02-05
request_153,user_153,2026-07-07,2830.8,503.6,none
request_154,user_154,2024-12-04,1625.8,1625.8,2024-12-04
request_155,user_155,2025-05-06,112500.0,112499.9,2025-05-06
request_156,user_156,2026-04-03,43076.0,13588.26,none
request_157,user_157,2024-03-05,23503000.0,10091840.0,none
request_158,user_158,2025-08-07,242600.0,242599.78,2025-08-07
request_159,user_159,2026-01-04,13398.0,13398.0,2026-01-04
request_160,user_160,2024-06-06,1246.3,857.61,none
request_161,user_161,2025-11-03,21204000.0,17241535.66,none
request_162,user_162,2026-07-05,83923000.0,8601223.9,none
request_163,user_163,2024-09-07,19304000.0,19303981.6,2024-09-07
request_164,user_164,2025-02-04,27018000.0,27017974.25,2025-02-04
request_165,user_165,2026-04-06,80600.0,80599.93,2026-04-06
request_166,user_166,2024-12-03,2907.6,2907.6,2024-12-03
request_167,user_167,2025-05-05,43802.0,43801.97,2025-05-05
request_168,user_168,2026-01-07,49380.0,49379.96,2026-01-07
request_169,user_169,2024-03-04,41976.0,41975.97,2024-03-04
request_170,user_170,2025-08-06,36936000.0,36935964.78,2025-08-06
request_171,user_171,2026-07-03,1878.8,310.65,none
request_172,user_172,2024-06-05,10200.0,10200.0,2024-06-05
request_173,user_173,2025-11-07,113000.0,83190.43,none
request_174,user_174,2026-04-04,1146.2,1146.2,2026-04-04
request_175,user_175,2024-09-06,2346.3,2346.3,2024-09-06
request_176,user_176,2025-02-03,1239.7,686.95,none
request_177,user_177,2026-01-05,1017.6,1017.6,2026-01-05
request_178,user_178,2024-12-07,2938.1,2938.1,2024-12-07
request_179,user_179,2025-05-04,41648000.0,37957225.94,none
request_180,user_180,2026-07-06,66500.0,66499.95,2026-07-06
request_181,user_181,2024-03-03,5059.2,1141.0,none
request_182,user_182,2025-08-05,65714.0,65713.95,2025-08-05
request_183,user_183,2026-04-07,26866000.0,26865974.39,2026-04-07
request_184,user_184,2024-06-04,251900.0,47539.94,none
request_185,user_185,2025-11-06,1257.3,783.4,none
request_186,user_186,2026-01-03,26554.0,22863.5,none
request_187,user_187,2024-09-05,187500.0,67434.83,none
request_188,user_188,2025-02-07,2464.0,585.3,none
request_189,user_189,2026-07-04,488.4,488.4,2026-07-04
request_190,user_190,2024-12-06,2557.5,1555.8,none
request_191,user_191,2025-05-03,664.4,664.4,2025-05-03
request_192,user_192,2026-04-05,2046.0,384.8,none
request_193,user_193,2024-03-07,1212.2,310.61,none
request_194,user_194,2025-08-04,132800.0,95029.91,none
request_195,user_195,2026-01-06,1170.4,1170.4,2026-01-06
request_196,user_196,2024-06-03,762.3,762.3,2024-06-03
request_197,user_197,2025-11-05,50939000.0,50938951.44,2025-11-05
request_198,user_198,2026-07-07,185800.0,185799.83,2026-07-07
request_199,user_199,2024-09-04,23674000.0,23673977.44,2024-09-04
request_200,user_200,2025-02-06,21717000.0,21716979.3,2025-02-06
request_201,user_201,2026-04-03,23997000.0,23996977.12,2026-04-03
request_202,user_202,2024-12-05,123900.0,123899.89,2024-12-05
request_203,user_203,2025-05-07,1442.1,1442.1,2025-05-07
request_204,user_204,2026-01-04,588.74,588.74,2026-01-04
request_205,user_205,2024-03-06,10621000.0,10620989.88,2024-03-06
request_206,user_206,2025-08-03,1404.7,1404.7,2025-08-03
request_207,user_207,2026-07-05,11830.0,11830.0,2026-07-05
request_208,user_208,2024-06-07,4413000.0,4412995.8,2024-06-07
request_209,user_209,2025-11-04,56914.0,8625.06,none
request_210,user_210,2026-04-06,1360.02,1360.02,2026-04-06
request_211,user_211,2024-09-03,1788.6,1227.88,none
request_212,user_212,2025-02-05,71934000.0,22343955.43,none
request_213,user_213,2026-01-07,3362.4,3362.4,2026-01-07
request_214,user_214,2024-12-04,69750.0,69749.95,2024-12-04
request_215,user_215,2025-05-06,29986.0,29985.98,2025-05-06
request_216,user_216,2026-07-03,3332.4,1166.8,none
request_217,user_217,2024-03-05,37180.0,31601.97,none
request_218,user_218,2025-08-07,61142000.0,37942377.34,none
request_219,user_219,2026-04-04,1673.1,1673.1,2026-04-04
request_220,user_220,2024-06-06,3118.5,307.32,none
request_221,user_221,2025-11-03,109800.0,109799.9,2025-11-03
request_222,user_222,2026-01-05,34078.0,34077.98,2026-01-05
request_223,user_223,2024-09-07,898.7,898.7,2024-09-07
request_224,user_224,2025-02-04,10327000.0,10326990.16,2025-02-04
request_225,user_225,2026-07-06,22059000.0,18120454.87,none
request_226,user_226,2024-12-03,157000.0,156999.86,2024-12-03
request_227,user_227,2025-05-05,259700.0,42754.87,none
request_228,user_228,2026-04-07,63327000.0,10557298.21,none
request_229,user_229,2024-03-04,1526.8,727.52,none
request_230,user_230,2025-08-06,3537.6,3537.6,2025-08-06
request_231,user_231,2026-01-03,35706.0,35705.98,2026-01-03
request_232,user_232,2024-06-05,1970.1,1869.39,none
request_233,user_233,2025-11-07,6241000.0,6240994.06,2025-11-07
request_234,user_234,2026-07-04,1213.3,528.6,none
request_235,user_235,2024-09-06,967.2,967.2,2024-09-06
request_236,user_236,2025-02-03,52383000.0,14404805.45,none
request_237,user_237,2026-04-05,23826000.0,23825977.29,2026-04-05
request_238,user_238,2024-12-07,663.6,663.6,2024-12-07
request_239,user_239,2025-05-04,642.0,642.0,2025-05-04
request_240,user_240,2026-01-06,101200.0,37399.96,none
request_241,user_241,2024-03-03,21052000.0,21051979.94,2024-03-03
request_242,user_242,2025-08-05,1966.8,369.4,none
request_243,user_243,2026-07-07,17468.0,17467.99,2026-07-07
request_244,user_244,2024-06-04,49918.0,49917.96,2024-06-04
request_245,user_245,2025-11-06,128500.0,65759.91,none
request_246,user_246,2026-04-03,64086.0,64085.95,2026-04-03
request_247,user_247,2024-09-05,1059.3,1059.3,2024-09-05
request_248,user_248,2025-02-07,1965.6,1507.36,none
request_249,user_249,2026-01-04,643.2,342.4,none
request_250,user_250,2024-12-06,124278.0,28819.97,none
request_251,user_251,2025-05-03,1513.6,1513.6,2025-05-03
request_252,user_252,2026-07-05,28082000.0,9110495.64,none
request_253,user_253,2024-03-07,2840.2,2143.56,none
request_254,user_254,2025-08-04,3535.2,1759.6,none
request_255,user_255,2026-04-06,3345000.0,3344996.82,2026-04-06
request_256,user_256,2024-06-03,218700.0,218699.8,2024-06-03
request_257,user_257,2025-11-05,1352.4,1085.19,none
request_258,user_258,2026-01-07,1113.6,1113.6,2026-01-07
request_259,user_259,2024-09-04,935.0,627.3,none
request_260,user_260,2025-02-06,52079000.0,13522274.67,none
request_261,user_261,2026-07-03,1830.4,1830.4,2026-07-03
request_262,user_262,2024-12-05,9236000.0,9235991.2,2024-12-05
request_263,user_263,2025-05-07,51546.0,13750.0,none
request_264,user_264,2026-04-04,111300.0,39794.96,none
request_265,user_265,2024-03-06,45970.0,45969.97,2024-03-06
request_266,user_266,2025-08-03,935.0,935.0,2025-08-03
request_267,user_267,2026-01-05,1925.0,1925.0,2026-01-05
request_268,user_268,2024-06-07,2426.6,1512.52,none
request_269,user_269,2025-11-04,15490.0,15489.99,2025-11-04
request_270,user_270,2026-07-06,3028.8,535.4,none
request_271,user_271,2024-09-03,91300.0,84759.98,none
request_272,user_272,2025-02-05,13585000.0,8815915.84,none
request_273,user_273,2026-04-07,15861000.0,13372190.89,none
request_274,user_274,2024-12-04,2713.7,2713.7,2024-12-04
request_275,user_275,2025-05-06,15884000.0,15883984.86,2025-05-06
